Fecha;L112 (kWh);Bot1500;Bot2000;Bot2500;Bot3000;Total L112 (bot)
01-10-2024; 2.244 ; - ; 139.580 ; - ; - ; 139.580 
02-10-2024; 2.301 ; 50.172 ; - ; - ; 74.064 ; 124.236 
03-10-2024; 1.116 ; - ; - ; 20.640 ; - ; 20.640 
04-10-2024; 1.851 ; - ; 30.572 ; 9.840 ; 36.414 ; 76.826 
05-10-2024; 989 ; - ; 40.740 ; - ; - ; 40.740 
06-10-2024; 250 ; - ; - ; - ; - ; - 
07-10-2024; 1.336 ; 49.692 ; - ; - ; - ; 49.692 
08-10-2024; 1.363 ; - ; 62.552 ; - ; - ; 62.552 
09-10-2024; 2.001 ; - ; 126.080 ; - ; - ; 126.080 
10-10-2024; 1.915 ; - ; - ; 34.770 ; 52.800 ; 87.570 
11-10-2024; 1.920 ; - ; - ; - ; 90.678 ; 90.678 
12-10-2024; 253 ; - ; - ; - ; - ; - 
13-10-2024; 352 ; - ; - ; - ; - ; - 
14-10-2024; 2.022 ; - ; 119.604 ; - ; - ; 119.604 
15-10-2024; 1.704 ; 122.496 ; - ; - ; - ; 122.496 
16-10-2024; 1.798 ; - ; - ; - ; 75.858 ; 75.858 
17-10-2024; 2.291 ; - ; 161.812 ; - ; - ; 161.812 
18-10-2024; 1.470 ; - ; - ; 62.934 ; - ; 62.934 
19-10-2024; 807 ; - ; 40.272 ; - ; - ; 40.272 
20-10-2024; 381 ; - ; - ; - ; - ; - 
21-10-2024; 1.723 ; - ; - ; - ; 67.326 ; 67.326 
22-10-2024; 2.156 ; - ; 155.108 ; - ; - ; 155.108 
23-10-2024; 1.422 ; - ; - ; 58.278 ; - ; 58.278 
24-10-2024; 1.976 ; - ; 125.952 ; - ; - ; 125.952 
25-10-2024; 2.056 ; 53.364 ; 88.320 ; - ; - ; 141.684 
26-10-2024; 960 ; - ; 52.160 ; - ; - ; 52.160 
27-10-2024; 319 ; - ; - ; - ; - ; - 
28-10-2024; 2.046 ; - ; 21.760 ; - ; 72.960 ; 94.720 
29-10-2024; 2.070 ; - ; 137.136 ; - ; - ; 137.136 
30-10-2024; 2.004 ; - ; 27.840 ; - ; 76.878 ; 104.718 
31-10-2024; 254 ; - ; - ; - ; - ; - 
01-11-2024; 94 ; - ; - ; - ; - ; - 
02-11-2024; 136 ; - ; - ; - ; - ; - 
03-11-2024; 331 ; - ; - ; - ; - ; - 
04-11-2024; 1.119 ; - ; - ; - ; 30.132 ; 30.132 
05-11-2024; 331 ; - ; - ; - ; - ; - 
06-11-2024; 275 ; - ; - ; - ; - ; - 
07-11-2024; 280 ; - ; - ; - ; - ; - 
08-11-2024; 262 ; - ; - ; - ; - ; - 
09-11-2024; 260 ; - ; - ; - ; - ; - 
10-11-2024; 239 ; - ; - ; - ; - ; - 
11-11-2024; 263 ; - ; - ; - ; - ; - 
12-11-2024; 280 ; - ; - ; - ; - ; - 
13-11-2024; 486 ; - ; - ; - ; - ; - 
14-11-2024; 1.199 ; - ; 38.400 ; - ; - ; 38.400 
15-11-2024; 2.011 ; - ; 124.364 ; - ; 15.312 ; 139.676 
16-11-2024; 284 ; - ; - ; - ; - ; - 
17-11-2024; 248 ; - ; - ; - ; - ; - 
18-11-2024; 555 ; - ; - ; - ; - ; - 
19-11-2024; 348 ; - ; - ; - ; - ; - 
20-11-2024; 378 ; - ; - ; - ; - ; - 
21-11-2024; 2.390 ; - ; 44.800 ; - ; 99.102 ; 143.902 
22-11-2024; 1.145 ; - ; 53.440 ; - ; - ; 53.440 
23-11-2024; 315 ; - ; - ; - ; - ; - 
24-11-2024; 278 ; - ; - ; - ; - ; - 
25-11-2024; 468 ; - ; - ; - ; - ; - 
26-11-2024; 390 ; - ; - ; - ; - ; - 
27-11-2024; 318 ; - ; - ; - ; - ; - 
28-11-2024; 657 ; - ; - ; - ; - ; - 
29-11-2024; 2.107 ; - ; 147.520 ; - ; - ; 147.520 
30-11-2024; 999 ; - ; 56.896 ; - ; 4.188 ; 61.084 
01-12-2024; 234 ; - ; - ; - ; - ; - 
02-12-2024; 2.113 ; - ; 131.352 ; - ; - ; 131.352 
03-12-2024; 1.971 ; - ; 64.720 ; - ; 43.110 ; 107.830 
04-12-2024; 3.052 ; - ; 246.248 ; - ; - ; 246.248 
05-12-2024; 716 ; - ; - ; - ; - ; - 
06-12-2024; 1.264 ; - ; - ; - ; 41.568 ; 41.568 
07-12-2024; 1.601 ; - ; 93.760 ; - ; - ; 93.760 
08-12-2024; 286 ; - ; - ; - ; - ; - 
09-12-2024; 2.032 ; - ; 116.336 ; - ; - ; 116.336 
10-12-2024; 3.147 ; - ; - ; - ; 165.600 ; 165.600 
11-12-2024; 2.971 ; - ; - ; - ; 146.748 ; 146.748 
12-12-2024; 3.126 ; - ; 219.520 ; - ; - ; 219.520 
13-12-2024; 2.996 ; - ; 195.280 ; - ; - ; 195.280 
14-12-2024; 1.030 ; - ; 50.136 ; - ; - ; 50.136 
15-12-2024; 515 ; - ; - ; - ; - ; - 
16-12-2024; 2.269 ; - ; - ; - ; 99.378 ; 99.378 
17-12-2024; 2.518 ; - ; - ; 129.318 ; - ; 129.318 
18-12-2024; 2.242 ; - ; 122.416 ; - ; - ; 122.416 
19-12-2024; 2.601 ; - ; 163.504 ; - ; - ; 163.504 
20-12-2024; 1.492 ; - ; 41.600 ; - ; - ; 41.600 
21-12-2024; 1.760 ; - ; 14.564 ; - ; 74.400 ; 88.964 
22-12-2024; 1.873 ; - ; - ; - ; 73.176 ; 73.176 
23-12-2024; 2.927 ; - ; 185.516 ; - ; - ; 185.516 
24-12-2024; 2.187 ; - ; - ; - ; 93.276 ; 93.276 
25-12-2024; 560 ; - ; - ; - ; - ; - 
26-12-2024; 2.234 ; - ; 114.772 ; - ; - ; 114.772 
27-12-2024; 2.667 ; 153.756 ; - ; - ; 28.800 ; 182.556 
28-12-2024; 1.926 ; - ; 32.000 ; - ; 68.388 ; 100.388 
29-12-2024; 2.112 ; - ; 140.000 ; - ; - ; 140.000 
30-12-2024; 2.622 ; - ; 44.608 ; 83.076 ; - ; 127.684 
31-12-2024; 2.049 ; - ; 107.452 ; 13.182 ; - ; 120.634 
